JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0,0.000644226,1161.74,2018.83,0.000644226,1161.74,857.092,"0.63:0.66:0.76:0.00:0.74:0.80","None"
2,"COMPLETED","Aurora","Aurora",0,0.000654627,932.597,2779.04,0.000654627,932.596,1846.44,"0.00:0.51:0.84:0.00:0.00:0.62","None"
3,"COMPLETED","Aurora","Frontier",0,0.000671292,121633,122967,0.000671292,121633,1333.37,"0.00:0.00:0.64:0.00:0.00:0.67","None"
4,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000654033,1987.72,3456.26,0.000654033,1987.72,1468.53,"0.00:0.61:0.74:0.00:0.70:0.78","None"
5,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,0.000698183,12516,14283.6,0.000698183,12516,1767.6,"0.00:0.66:0.75:0.00:0.76:0.75","None"
6,"COMPLETED","Aurora","Aurora",0,0.0036621,2734.62,3426.64,0.0036621,2734.61,692.019,"0.00:0.46:0.83:0.00:0.00:0.60","None"
7,"COMPLETED","Aurora","Frontier",0,0.000629038,0.000629038,956.854,0.000629038,0,956.853,"0.00:0.69:0.80:0.00:0.00:0.83","None"
8,"COMPLETED","Aurora","Frontier",0,0.000638488,106313,107691,0.000638488,106313,1378.43,"0.00:0.00:0.66:0.00:0.00:0.69","None"
9,"COMPLETED","Frontier","Frontier",0,0.000660821,91034.3,92515.8,0.000660821,91034.3,1481.41,"0.00:0.00:0.71:0.00:0.00:0.74","None"
10,"COMPLETED","Frontier","Frontier",0,0.0058031,7971.28,9031.11,0.0058031,7971.27,1059.83,"0.00:0.60:0.74:0.00:0.70:0.74","None"
11,"COMPLETED","Aurora","Frontier",0,0.00964898,14731.5,17185.8,0.00964898,14731.5,2454.35,"0.00:0.62:0.75:0.00:0.71:0.79","None"
12,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,0.000677103,44745.6,51259.2,0.000677103,44745.6,6513.6,"0.00:0.67:0.75:0.00:0.77:0.76","None"
13,"COMPLETED","Frontier","Frontier",0,0.000660821,12661.1,17731.8,0.000660821,12661.1,5070.68,"0.00:0.45:0.66:0.00:0.00:0.80","None"
14,"COMPLETED","Aurora","Perlmutter-Phase-2",0,0.000666685,15710.4,17218.8,0.000666685,15710.4,1508.4,"0.00:0.64:0.74:0.00:0.75:0.74","None"
15,"COMPLETED","Aurora","Aurora",0,0.000641903,1017.98,1482.12,0.000641903,1017.98,464.135,"0.00:0.69:0.79:0.00:0.00:0.78","None"
16,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000662145,3774,4363.2,0.000662145,3774,589.2,"0.76:0.71:0.77:0.00:0.77:0.77","None"
17,"COMPLETED","Aurora","Aurora",0,0.000710975,4301.71,4962.58,0.000710975,4301.71,660.865,"0.00:0.40:0.82:0.00:0.00:0.58","None"
18,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000682231,3133.37,3940.05,0.000682231,3133.37,806.675,"0.00:0.65:0.76:0.00:0.74:0.80","None"
19,"COMPLETED","Aurora","Aurora",0,0.000660813,17085.5,18896.5,0.000660813,17085.5,1810.96,"0.00:0.00:0.77:0.00:0.00:0.52","None"
20,"COMPLETED","Frontier","Aurora",0,0.000649876,9140.48,9479.42,0.000649876,9140.48,338.942,"0.00:0.00:0.70:0.00:0.00:0.70","None"
21,"COMPLETED","Frontier","Frontier",0,0.000727103,9908.62,12003.6,0.000727103,9908.62,2094.99,"0.00:0.69:0.80:0.00:0.00:0.83","None"
22,"COMPLETED","Aurora","Frontier",0,0.000747975,3961.5,4769.25,0.000747975,3961.5,807.747,"0.00:0.67:0.76:0.00:0.75:0.80","None"
23,"COMPLETED","Frontier","Frontier",0,0.000641289,1772.11,2794.4,0.000641289,1772.11,1022.29,"0.00:0.00:0.73:0.00:0.67:0.77","None"
24,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",0,0.000661608,3288,5400,0.000661608,3288,2112,"0.67:0.74:0.77:0.00:0.81:0.77","None"
25,"COMPLETED","Aurora","Perlmutter-Phase-2",0,0.000679103,3994.8,11896.8,0.000679103,3994.8,7902,"0.71:0.76:0.77:0.00:0.83:0.77","None"
26,"COMPLETED","Aurora","Aurora",0,0.000618636,513.75,757.5,0.000618636,513.75,243.75,"0.00:0.00:0.77:0.00:0.00:0.51","None"
27,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,0.000677103,4954.8,6254.4,0.000677103,4954.8,1299.6,"0.00:0.69:0.76:0.00:0.78:0.76","None"
28,"COMPLETED","Aurora","Aurora",0,0.000632498,12320.8,14352.7,0.000632498,12320.8,2031.92,"0.00:0.00:0.80:0.00:0.00:0.56","None"
29,"COMPLETED","Perlmutter-Phase-2","Aurora",0,0.00963898,8355.5,8696.75,0.00963898,8355.49,341.25,"0.00:0.00:0.72:0.00:0.65:0.72","None"
30,"COMPLETED","Aurora","Frontier",0,0.000684379,11131.5,13040.9,0.000684379,11131.5,1909.42,"0.00:0.67:0.79:0.00:0.00:0.82","None"
31,"COMPLETED","Aurora","Aurora",0,0.0036571,31433,33066,0.0036571,31433,1632.98,"0.00:0.00:0.73:0.00:0.00:0.46","None"
32,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,0.000661882,8556,16257.6,0.000661882,8556,7701.6,"0.63:0.71:0.76:0.00:0.79:0.76","None"
33,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000627637,0.000627637,1391.3,0.000627637,0,1391.3,"0.00:0.00:0.73:0.00:0.68:0.77","None"
34,"COMPLETED","Aurora","Aurora",0,0.000643246,13133.3,13995.5,0.000643246,13133.3,862.212,"0.00:0.00:0.80:0.00:0.00:0.55","None"
35,"COMPLETED","Aurora","Aurora",0,0.00069201,4476.82,5532.88,0.00069201,4476.82,1056.06,"0.00:0.41:0.82:0.00:0.00:0.59","None"
36,"COMPLETED","Aurora","Aurora",0,0.000711975,907.5,1120.67,0.000711975,907.5,213.173,"0.00:0.52:0.84:0.00:0.00:0.62","None"
37,"COMPLETED","Aurora","Frontier",0,0.000529267,0.000529267,1987.72,0.000529267,0,1987.72,"0.00:0.00:0.78:0.00:0.00:0.81","None"
38,"COMPLETED","Aurora","Aurora",0,0.0017601,5258.83,6139.79,0.0017601,5258.83,880.962,"0.00:0.00:0.78:0.00:0.00:0.78","None"
39,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000657393,31211.4,35637.4,0.000657393,31211.4,4425.98,"0.00:0.00:0.73:0.00:0.67:0.77","None"
40,"COMPLETED","Frontier","Frontier",0,0.000668103,32453.9,35825.4,0.000668103,32453.9,3371.51,"0.00:0.00:0.71:0.00:0.00:0.74","None"
41,"COMPLETED","Perlmutter-Phase-2","Aurora",0,0.000645837,757.5,1051.15,0.000645837,757.5,293.654,"0.00:0.00:0.74:0.00:0.73:0.73","None"
42,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000698103,3434.12,4289.06,0.000698103,3434.11,854.946,"0.00:0.67:0.76:0.00:0.75:0.80","None"
43,"COMPLETED","Aurora","Aurora",0,0.000669103,18896.5,20764.8,0.000669103,18896.5,1868.37,"0.00:0.00:0.71:0.00:0.69:0.71","None"
44,"COMPLETED","Aurora","Aurora",0,0.00940808,13539.2,13835.2,0.00940808,13539.2,295.962,"0.00:0.00:0.68:0.00:0.00:0.68","None"
45,"COMPLETED","Aurora","Frontier",0,0.000667975,3702.98,5150.06,0.000667975,3702.98,1447.08,"0.00:0.74:0.81:0.00:0.00:0.84","None"
46,"COMPLETED","Aurora","Aurora",0,0.00426308,14729.1,15298,0.00426308,14729.1,568.846,"0.00:0.00:0.76:0.00:0.00:0.50","None"
47,"COMPLETED","Aurora","Aurora",0,0.00065894,907.5,1186.44,0.00065894,907.5,278.942,"0.00:0.47:0.84:0.00:0.00:0.61","None"
48,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000667256,998.366,1129.62,0.000667256,998.365,131.25,"0.00:0.60:0.74:0.00:0.70:0.74","None"
49,"COMPLETED","Aurora","Aurora",0,0.000660813,18467,19796.3,0.000660813,18467,1329.23,"0.00:0.00:0.77:0.00:0.00:0.51","None"
50,"COMPLETED","Frontier","Perlmutter-Phase-2",0,0.0036581,18229.2,21171.6,0.0036581,18229.2,2942.4,"0.00:0.70:0.76:0.00:0.79:0.76","None"
51,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000643976,0.000643976,2944.8,0.000643976,0,2944.8,"0.00:0.73:0.67:0.00:0.00:0.62","None"
52,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.012634,4981.65,6655.07,0.012634,4981.63,1673.42,"0.63:0.66:0.76:0.00:0.74:0.80","None"
53,"COMPLETED","Aurora","Frontier",0,0.000691122,2580.93,3133.37,0.000691122,2580.93,552.443,"0.71:0.68:0.76:0.00:0.75:0.77","None"
54,"COMPLETED","Frontier","Frontier",0,0.000667507,7047.68,11131.5,0.000667507,7047.68,4083.79,"0.00:0.66:0.76:0.00:0.74:0.80","None"
55,"COMPLETED","Frontier","Frontier",0,0.000661563,2054.62,3434.12,0.000661563,2054.62,1379.5,"0.67:0.69:0.77:0.00:0.76:0.81","None"
56,"COMPLETED","Aurora","Aurora",0,0.000661322,2140.39,2543.94,0.000661322,2140.38,403.558,"0.00:0.43:0.82:0.00:0.00:0.59","None"
57,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.0277651,6052.21,6601.43,0.0277651,6052.18,549.225,"0.00:0.60:0.74:0.00:0.69:0.74","None"
58,"COMPLETED","Aurora","Aurora",0,0.0156651,3024.23,4940.48,0.0156651,3024.22,1916.25,"0.00:0.73:0.80:0.00:0.00:0.80","None"
59,"COMPLETED","Frontier","Frontier",0,0.000659082,0.000659082,484.864,0.000659082,0,484.863,"0.70:0.68:0.76:0.00:0.75:0.77","None"
60,"COMPLETED","Aurora","Aurora",0,0.000698085,2581.15,2996.83,0.000698085,2581.15,415.673,"0.00:0.44:0.83:0.00:0.00:0.60","None"
61,"COMPLETED","Frontier","Aurora",0,0.0062991,9479.42,9928.56,0.0062991,9479.42,449.135,"0.00:0.00:0.72:0.00:0.70:0.72","None"
62,"COMPLETED","Aurora","Aurora",0,0.000466953,0.000466953,282.693,0.000466953,0,282.692,"0.00:0.00:0.62:0.00:0.00:0.00","None"
63,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,0.000691202,9746.4,12516,0.000691202,9746.4,2769.6,"0.00:0.69:0.76:0.00:0.79:0.76","None"
64,"COMPLETED","Aurora","Frontier",0,0.01272,8456.14,14210.1,0.01272,8456.13,5753.99,"0.00:0.76:0.81:0.00:0.00:0.81","None"
65,"COMPLETED","Frontier","Aurora",0,0.000632498,9778.27,10811.3,0.000632498,9778.27,1032.98,"0.00:0.00:0.72:0.00:0.70:0.72","None"
66,"COMPLETED","Aurora","Frontier",0,0.00666598,13921.6,15807.4,0.00666598,13921.6,1885.82,"0.00:0.00:0.72:0.00:0.66:0.75","None"
67,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000661563,10417,12661.1,0.000661563,10417,2244.1,"0.00:0.61:0.75:0.00:0.70:0.78","None"
68,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000641621,0.000641621,2214,0.000641621,0,2214,"0.65:0.72:0.76:0.00:0.80:0.77","None"
69,"COMPLETED","Frontier","Perlmutter-Phase-2",0,0.000663466,6254.4,7158,0.000663466,6254.4,903.6,"0.00:0.65:0.75:0.00:0.75:0.75","None"
70,"COMPLETED","Aurora","Aurora",0,0.000656458,513.75,827.02,0.000656458,513.75,313.269,"0.00:0.56:0.85:0.00:0.00:0.62","None"
71,"COMPLETED","Frontier","Aurora",0,0.000616636,513.75,639.808,0.000616636,513.75,126.058,"0.00:0.00:0.70:0.00:0.00:0.70","None"
72,"COMPLETED","Frontier","Frontier",0,0.000647855,15807.4,17977.5,0.000647855,15807.4,2170.08,"0.00:0.00:0.74:0.00:0.69:0.77","None"
73,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",0,0.000631866,0.000631866,3994.8,0.000631866,0,3994.8,"0.00:0.70:0.76:0.00:0.79:0.76","None"
74,"COMPLETED","Aurora","Aurora",0,0.000682231,1873.85,2525.19,0.000682231,1873.85,651.346,"0.00:0.46:0.83:0.00:0.00:0.60","None"
75,"COMPLETED","Frontier","Frontier",0,0.00368698,4769.25,6486.65,0.00368698,4769.25,1717.4,"0.00:0.64:0.76:0.00:0.73:0.80","None"
76,"COMPLETED","Frontier","Perlmutter-Phase-2",0,0.0036861,40441.2,44745.6,0.0036861,40441.2,4304.4,"0.00:0.65:0.75:0.00:0.75:0.75","None"
77,"COMPLETED","Aurora","Frontier",0,0.00065513,2794.4,7194.64,0.00065513,2794.4,4400.24,"0.00:0.71:0.80:0.00:0.00:0.84","None"
78,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000654033,1391.3,1813.95,0.000654033,1391.3,422.646,"0.00:0.63:0.75:0.00:0.72:0.75","None"
79,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.0036391,13040.9,16225.7,0.0036391,13040.9,3184.86,"0.00:0.62:0.75:0.00:0.72:0.79","None"
80,"COMPLETED","Frontier","Aurora",0,0.000649074,13995.5,15592.7,0.000649074,13995.5,1597.21,"0.00:0.00:0.73:0.00:0.72:0.73","None"
81,"COMPLETED","Aurora","Aurora",0,0.000629728,0.000629728,219.808,0.000629728,0,219.808,"0.00:0.53:0.84:0.00:0.00:0.62","None"
82,"COMPLETED","Aurora","Aurora",0,0.00363498,2904.64,4211.37,0.00363498,2904.64,1306.73,"0.00:0.43:0.83:0.00:0.00:0.59","None"
83,"COMPLETED","Aurora","Frontier",0,0.000661563,28834.3,31211.4,0.000661563,28834.3,2377.12,"0.00:0.00:0.72:0.00:0.66:0.75","None"
84,"COMPLETED","Frontier","Frontier",0,0.000658596,4981.65,7876.88,0.000658596,4981.64,2895.23,"0.00:0.71:0.80:0.00:0.00:0.83","None"
85,"COMPLETED","Frontier","Aurora",0,0.000651316,14352.7,15622.5,0.000651316,14352.7,1269.81,"0.00:0.00:0.77:0.00:0.00:0.76","None"
86,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",0,0.0066901,41643.1,45190.3,0.0066901,41643.1,3547.2,"0.00:0.65:0.75:0.00:0.75:0.75","None"
87,"COMPLETED","Aurora","Aurora",0,0.000614458,21131.8,21485.7,0.000614458,21131.8,353.942,"0.00:0.00:0.73:0.00:0.00:0.45","None"
88,"COMPLETED","Frontier","Aurora",0,0.000651316,21643.8,21923.6,0.000651316,21643.8,279.808,"0.00:0.00:0.66:0.00:0.00:0.65","None"
89,"COMPLETED","Frontier","Frontier",0,0.000662386,8874.49,14497.6,0.000662386,8874.49,5623.12,"0.00:0.49:0.67:0.00:0.00:0.80","None"
90,"COMPLETED","Andes","Frontier",0,0.000671229,2580.93,4653.4,0.000671229,2580.93,2072.47,"0.68:0.70:0.77:0.00:0.77:0.81","None"
91,"COMPLETED","Aurora","Aurora",0,0.000627502,9319.54,10849.5,0.000627502,9319.54,1530,"0.00:0.00:0.80:0.00:0.00:0.56","None"
92,"COMPLETED","Andes","Frontier",0,0.00370798,2794.4,3702.98,0.00370798,2794.4,908.582,"0.73:0.69:0.77:0.00:0.76:0.77","None"
93,"COMPLETED","Frontier","Frontier",0,0.000652679,956.854,5609.18,0.000652679,956.853,4652.32,"0.00:0.54:0.68:0.00:0.00:0.81","None"
94,"COMPLETED","Aurora","Aurora",0,0.00067331,1725,2140.39,0.00067331,1725,415.385,"0.00:0.00:0.81:0.00:0.00:0.57","None"
95,"COMPLETED","Aurora","Aurora",0,0.000629728,6185.77,6979.33,0.000629728,6185.77,793.558,"0.00:0.00:0.81:0.00:0.00:0.56","None"
96,"COMPLETED","Frontier","Frontier",0,0.0036421,12024,13403.5,0.0036421,12024,1379.5,"0.00:0.00:0.77:0.00:0.00:0.80","None"
97,"COMPLETED","Aurora","Aurora",0,0.000695153,1374.52,1668.75,0.000695153,1374.52,294.231,"0.00:0.43:0.82:0.00:0.00:0.59","None"
98,"COMPLETED","Aurora","Frontier",0,0.0125633,4256.53,9908.62,0.0125633,4256.52,5652.09,"0.00:0.80:0.81:0.00:0.00:0.81","None"
99,"COMPLETED","Aurora","Frontier",0,0.000633238,89473.6,91034.3,0.000633238,89473.6,1560.79,"0.00:0.00:0.68:0.00:0.00:0.71","None"
100,"COMPLETED","Aurora","Aurora",0,0.000637147,8132.6,8421.06,0.000637147,8132.6,288.462,"0.00:0.00:0.75:0.00:0.00:0.74","None"
101,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,0.0006542,5494.8,7327.2,0.0006542,5494.8,1832.4,"0.00:0.65:0.75:0.00:0.75:0.74","None"
102,"COMPLETED","Aurora","Aurora",0,0.00062557,513.75,747.981,0.00062557,513.75,234.231,"0.00:0.00:0.80:0.00:0.00:0.56","None"
103,"COMPLETED","Aurora","Frontier",0,0.000666492,18792,22469.2,0.000666492,18792,3677.23,"0.00:0.60:0.74:0.00:0.69:0.78","None"
104,"COMPLETED","Frontier","Frontier",0,0.000663885,92515.8,93934.9,0.000663885,92515.8,1419.19,"0.00:0.00:0.67:0.00:0.00:0.70","None"
105,"COMPLETED","Aurora","Aurora",0,0.000648156,219.808,535.674,0.000648156,219.808,315.865,"0.00:0.49:0.84:0.00:0.00:0.61","None"
106,"COMPLETED","Frontier","Aurora",0,0.000643246,747.981,993.174,0.000643246,747.981,245.192,"0.00:0.00:0.78:0.00:0.00:0.78","None"
107,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.00349827,16257.6,21034.8,0.00349827,16257.6,4777.2,"0.64:0.71:0.76:0.00:0.80:0.77","None"
108,"COMPLETED","Aurora","Aurora",0,0.000647066,1051.15,1539.23,0.000647066,1051.15,488.077,"0.00:0.00:0.80:0.00:0.00:0.56","None"
109,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.0037711,4894.76,6179.86,0.0037711,4894.75,1285.1,"0.00:0.65:0.76:0.00:0.73:0.76","None"
110,"COMPLETED","Frontier","Aurora",0,0.000619646,19796.3,20899.6,0.000619646,19796.2,1103.37,"0.00:0.00:0.73:0.00:0.00:0.72","None"
111,"COMPLETED","Frontier","Frontier",0,0.000658008,19708.8,20850.2,0.000658008,19708.8,1141.36,"0.00:0.00:0.59:0.00:0.00:0.75","None"
112,"COMPLETED","Aurora","Aurora",0,0.012667,2936.25,4874.14,0.012667,2936.24,1937.88,"0.00:0.48:0.84:0.00:0.00:0.61","None"
113,"COMPLETED","Aurora","Frontier",0,0.000652679,5150.06,8874.49,0.000652679,5150.06,3724.43,"0.00:0.75:0.80:0.00:0.00:0.80","None"
114,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",0,0.0066441,23426.4,25435.2,0.0066441,23426.4,2008.8,"0.00:0.65:0.75:0.00:0.75:0.75","None"
115,"COMPLETED","Aurora","Frontier",0,0.000622721,0.000622721,1772.11,0.000622721,0,1772.11,"0.00:0.00:0.73:0.00:0.00:0.76","None"
116,"COMPLETED","Aurora","Frontier",0,0.010668,16225.7,20504.8,0.010668,16225.7,4279.02,"0.00:0.62:0.75:0.00:0.71:0.79","None"
117,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,0.00665283,7158,8037.6,0.00665283,7157.99,879.6,"0.00:0.65:0.75:0.00:0.75:0.75","None"
118,"COMPLETED","Aurora","Aurora",0,0.000684458,2343.46,4129.33,0.000684458,2343.46,1785.87,"0.00:0.46:0.83:0.00:0.00:0.60","None"
119,"COMPLETED","Frontier","Frontier",0,0.000638488,1391.3,3236.35,0.000638488,1391.3,1845.05,"0.00:0.66:0.76:0.00:0.74:0.80","None"
120,"COMPLETED","Aurora","Frontier",0,0.000660821,1642.31,2991.78,0.000660821,1642.31,1349.46,"0.00:0.74:0.81:0.00:0.00:0.84","None"
121,"COMPLETED","Aurora","Aurora",0,0.000643246,16818.8,17514.8,0.000643246,16818.7,696.058,"0.00:0.00:0.77:0.00:0.00:0.51","None"
122,"COMPLETED","Aurora","Frontier",0,0.000619706,0.000619706,1161.74,0.000619706,0,1161.74,"0.00:0.72:0.80:0.00:0.00:0.84","None"
123,"COMPLETED","Aurora","Aurora",0,0.000598145,23596.4,24562.4,0.000598145,23596.4,966.058,"0.00:0.00:0.72:0.00:0.00:0.71","None"
124,"COMPLETED","Perlmutter-Phase-2","Aurora",0,0.000647066,757.5,998.366,0.000647066,757.5,240.865,"0.00:0.00:0.73:0.00:0.67:0.73","None"
125,"COMPLETED","Aurora","Frontier",0,0.00065513,3426.22,4981.65,0.00065513,3426.22,1555.42,"0.00:0.68:0.79:0.00:0.00:0.83","None"
126,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000661563,2794.4,3775.92,0.000661563,2794.4,981.526,"0.00:0.74:0.80:0.00:0.00:0.80","None"
127,"COMPLETED","Aurora","Aurora",0,0.00654498,4469.71,5076.06,0.00654498,4469.71,606.346,"0.00:0.69:0.78:0.00:0.00:0.78","None"
128,"COMPLETED","Frontier","Aurora",0,0.00067144,10434.2,10826,0.00067144,10434.2,391.731,"0.00:0.00:0.70:0.00:0.00:0.70","None"
129,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000660821,17977.5,19708.8,0.000660821,17977.5,1731.35,"0.00:0.00:0.73:0.00:0.66:0.76","None"
130,"COMPLETED","Aurora","Aurora",0,0.000686103,1712.89,3156.64,0.000686103,1712.88,1443.75,"0.00:0.50:0.84:0.00:0.00:0.62","None"
131,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,0.000656079,7327.2,9746.4,0.000656079,7327.2,2419.2,"0.00:0.68:0.76:0.00:0.78:0.76","None"
132,"COMPLETED","Aurora","Frontier",0,0.0036581,5609.18,10372,0.0036581,5609.17,4762.81,"0.00:0.80:0.81:0.00:0.00:0.81","None"
133,"COMPLETED","Frontier","Frontier",0,0.000663609,40019.4,46484.6,0.000663609,40019.4,6465.2,"0.00:0.00:0.59:0.00:0.00:0.75","None"
134,"COMPLETED","Aurora","Perlmutter-Phase-2",0,0.000684507,17218.8,18229.2,0.000684507,17218.8,1010.4,"0.00:0.65:0.75:0.00:0.75:0.74","None"
135,"COMPLETED","Aurora","Frontier",0,0.000663164,2580.93,3284.63,0.000663164,2580.93,703.695,"0.00:0.66:0.76:0.00:0.74:0.76","None"
136,"COMPLETED","Aurora","Aurora",0,0.0123131,6117.69,6442.79,0.0123131,6117.68,325.096,"0.00:0.00:0.73:0.00:0.73:0.73","None"
137,"COMPLETED","Aurora","Aurora",0,0.000649074,513.75,807.116,0.000649074,513.75,293.365,"0.00:0.55:0.84:0.00:0.00:0.62","None"
138,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.0216521,19881.5,22532.2,0.0216521,19881.5,2650.66,"0.00:0.00:0.74:0.00:0.68:0.77","None"
139,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000671292,8456.14,12742.7,0.000671292,8456.14,4286.53,"0.00:0.69:0.80:0.00:0.00:0.83","None"
140,"COMPLETED","Aurora","Aurora",0,0.000662458,17514.8,18467,0.000662458,17514.8,952.212,"0.00:0.00:0.77:0.00:0.00:0.51","None"
141,"COMPLETED","Aurora","Perlmutter-Phase-2",0,0.000759103,14283.6,15873.6,0.000759103,14283.6,1590,"0.00:0.68:0.76:0.00:0.78:0.76","None"
142,"COMPLETED","Aurora","Aurora",0,0.000637147,27657.6,28532.8,0.000637147,27657.6,875.192,"0.00:0.00:0.72:0.00:0.00:0.44","None"
143,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.00065513,6486.65,10866.5,0.00065513,6486.65,4379.86,"0.00:0.65:0.76:0.00:0.73:0.80","None"
144,"COMPLETED","Aurora","Aurora",0,0.000688138,3673.16,4034.6,0.000688138,3673.16,361.442,"0.00:0.00:0.81:0.00:0.00:0.57","None"
145,"COMPLETED","Aurora","Aurora",0,0.000651316,1664.71,3024.23,0.000651316,1664.71,1359.52,"0.00:0.46:0.83:0.00:0.00:0.61","None"
146,"COMPLETED","Frontier","Frontier",0,0.000666492,6655.07,7971.28,0.000666492,6655.07,1316.21,"0.00:0.60:0.74:0.00:0.70:0.78","None"
147,"COMPLETED","Aurora","Frontier",0,0.000682231,3775.92,6104.77,0.000682231,3775.92,2328.84,"0.64:0.67:0.76:0.00:0.75:0.80","None"
148,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.0078951,7876.88,11023.1,0.0078951,7876.87,3146.25,"0.65:0.68:0.77:0.00:0.75:0.81","None"
149,"COMPLETED","Aurora","Aurora",0,0.00368698,1017.98,2343.46,0.00368698,1017.98,1325.48,"0.00:0.50:0.84:0.00:0.00:0.62","None"
150,"COMPLETED","Aurora","Frontier",0,0.000655965,35637.4,38523,0.000655965,35637.4,2885.58,"0.00:0.00:0.75:0.00:0.00:0.77","None"
151,"COMPLETED","Frontier","Perlmutter-Phase-2",0,0.00658227,18229.2,21751.2,0.00658227,18229.2,3522,"0.66:0.73:0.77:0.00:0.81:0.77","None"
152,"COMPLETED","Perlmutter-Phase-2","Aurora",0,0.000635541,639.808,1017.98,0.000635541,639.808,378.173,"0.00:0.00:0.73:0.00:0.71:0.72","None"
153,"COMPLETED","Frontier","Perlmutter-Phase-2",0,0.000660445,2214,3774,0.000660445,2214,1560,"0.64:0.71:0.76:0.00:0.80:0.76","None"
154,"COMPLETED","Frontier","Frontier",0,0.00661998,8119.31,10417,0.00661998,8119.3,2297.74,"0.00:0.63:0.75:0.00:0.72:0.79","None"
155,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.0106611,3179.34,7046.94,0.0106611,3179.33,3867.6,"0.00:0.67:0.64:0.00:0.00:0.59","None"
156,"COMPLETED","Aurora","Aurora",0,0.000660813,998.366,2566.15,0.000660813,998.365,1567.79,"0.00:0.49:0.84:0.00:0.00:0.62","None"
157,"COMPLETED","Frontier","Aurora",0,0.000663458,4197.98,4470.58,0.000663458,4197.98,272.596,"0.00:0.00:0.73:0.00:0.68:0.73","None"
158,"COMPLETED","Aurora","Aurora",0,0.000613717,10826,12320.8,0.000613717,10826,1494.81,"0.00:0.00:0.76:0.00:0.00:0.75","None"
159,"COMPLETED","Frontier","Frontier",0,0.000658008,20638,25137,0.000658008,20638,4498.93,"0.00:0.00:0.73:0.00:0.67:0.77","None"
160,"COMPLETED","Perlmutter-Phase-2","Aurora",0,0.000653597,791.539,907.5,0.000653597,791.538,115.962,"0.00:0.60:0.74:0.00:0.70:0.74","None"
161,"COMPLETED","Aurora","Aurora",0,0.000652788,1668.75,2734.62,0.000652788,1668.75,1065.87,"0.00:0.46:0.83:0.00:0.00:0.61","None"
162,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000662386,3740.52,5612.4,0.000662386,3740.52,1871.87,"0.64:0.67:0.76:0.00:0.75:0.80","None"
163,"COMPLETED","Aurora","Aurora",0,0.0187641,6460.39,6770.19,0.0187641,6460.37,309.808,"0.00:0.00:0.80:0.00:0.00:0.56","None"
164,"COMPLETED","Aurora","Aurora",0,0.000685975,3582.3,4476.82,0.000685975,3582.3,894.519,"0.00:0.69:0.78:0.00:0.00:0.78","None"
165,"COMPLETED","Aurora","Aurora",0,0.000649074,26630.7,27657.6,0.000649074,26630.7,1026.92,"0.00:0.00:0.70:0.00:0.00:0.69","None"
166,"COMPLETED","Aurora","Aurora",0,0.000640617,8762.31,9140.48,0.000640617,8762.31,378.173,"0.00:0.00:0.77:0.00:0.00:0.52","None"
