JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0,0.000401355,0.000401355,163.052,0.000401355,0,163.051,"0.00:0.00:0.00:0.92:0.00:0.92","None"
2,"COMPLETED","Crux","Frontier",0,0.000407992,1398.81,1423.48,0.000407992,1398.81,24.6722,"0.92:0.92:0.92:0.96:0.92:0.96","None"
3,"COMPLETED","Aurora","Frontier",0,0.000407992,351.848,405.483,0.000407992,351.847,53.6353,"0.00:0.00:0.92:0.96:0.00:0.97","None"
4,"COMPLETED","Andes","Andes",0,0.000403897,0.000403897,102,0.000403897,0,102,"0.92:0.92:0.92:0.92:0.92:0.92","None"
5,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000409032,1940.52,2657.09,0.000409032,1940.52,716.567,"0.00:0.00:0.92:0.91:0.00:0.93","None"
6,"COMPLETED","Frontier","Frontier",0,0.000409022,351.848,569.607,0.000409022,351.847,217.759,"0.00:0.00:0.92:0.96:0.00:0.97","None"
7,"COMPLETED","Frontier","Frontier",0,0.000404334,1997.38,2077.83,0.000404334,1997.38,80.4529,"0.00:0.00:0.00:0.92:0.00:0.92","None"
8,"COMPLETED","Frontier","Frontier",0,0.000409022,1727.06,1883.67,0.000409022,1727.06,156.615,"0.00:0.00:0.00:0.92:0.00:0.96","None"
9,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000403657,0.000403657,147.693,0.000403657,0,147.692,"0.00:0.00:0.92:0.92:0.00:0.92","None"
10,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000408231,0.000408231,10.385,0.000408231,0,10.3846,"0.92:0.92:0.92:0.96:0.92:0.95","None"
11,"COMPLETED","Aurora","Frontier",0,0.000408169,3069.01,3190.23,0.000408169,3069.01,121.216,"0.00:0.00:0.92:0.96:0.00:0.97","None"
12,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000408478,3069.01,3257.81,0.000408478,3069.01,188.796,"0.00:0.00:0.92:0.97:0.00:0.97","None"
13,"COMPLETED","Frontier","Frontier",0,0.000408906,1242.19,1375.21,0.000408906,1242.19,133.015,"0.00:0.92:0.00:0.95:0.00:0.96","None"
14,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000402639,1883.67,1997.38,0.000402639,1883.67,113.707,"0.00:0.00:0.92:0.92:0.00:0.92","None"
15,"COMPLETED","Frontier","Aurora",0,0.000401972,0.000401972,404.712,0.000401972,0,404.712,"0.00:0.00:0.00:0.92:0.00:0.92","None"
16,"COMPLETED","Aurora","Perlmutter-Phase-2",0,0.000404334,0.000404334,348,0.000404334,0,348,"0.92:0.92:0.92:0.92:0.00:0.92","None"
17,"COMPLETED","Frontier","Frontier",0,0.000399875,3657.93,4443.15,0.000399875,3657.93,785.221,"0.00:0.00:0.00:0.00:0.00:0.92","None"
18,"COMPLETED","Crux","Aurora",0,0.000408137,8.36579,67.5004,0.000408137,8.36538,59.1346,"0.92:0.92:0.92:0.96:0.00:0.95","None"
19,"COMPLETED","Crux","Frontier",0,0.000408705,3212.75,3444.46,0.000408705,3212.75,231.704,"0.92:0.92:0.92:0.95:0.00:0.96","None"
20,"COMPLETED","Crux","Andes",0,0.000404914,26.4004,70.8004,0.000404914,26.4,44.4,"0.92:0.92:0.92:0.92:0.92:0.92","None"
21,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",0,0.000405203,79.2004,108,0.000405203,79.2,28.8,"0.92:0.92:0.92:0.92:0.92:0.92","None"
22,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000409509,3630.67,4464.67,0.000409509,3630.67,834,"0.00:0.00:0.92:0.92:0.00:0.92","None"
23,"COMPLETED","Frontier","Frontier",0,0.00039807,2333.14,3283.55,0.00039807,2333.13,950.417,"0.00:0.00:0.00:0.00:0.00:0.97","None"
24,"COMPLETED","Aurora","Perlmutter-Phase-2",0,0.000404334,0.000404334,674.4,0.000404334,0,674.4,"0.00:0.92:0.92:0.92:0.00:0.92","None"
25,"COMPLETED","Frontier","Frontier",0,0.000399875,2333.14,8827.29,0.000399875,2333.13,6494.16,"0.00:0.00:0.00:0.92:0.00:0.92","None"
26,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000404674,0.000404674,136.8,0.000404674,0,136.8,"0.00:0.00:0.92:0.92:0.00:0.92","None"
27,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000402639,6907.15,8252.32,0.000402639,6907.15,1345.17,"0.00:0.00:0.00:0.92:0.00:0.92","None"
28,"COMPLETED","Crux","Aurora",0,0.000404684,0.000404684,43.5581,0.000404684,0,43.5577,"0.92:0.92:0.92:0.92:0.00:0.92","None"
29,"COMPLETED","Aurora","Aurora",0,0.000408909,37.2119,299.712,0.000408909,37.2115,262.5,"0.00:0.00:0.88:0.97:0.00:0.92","None"
30,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000408705,240.286,337.903,0.000408705,240.286,97.6162,"0.92:0.92:0.92:0.95:0.92:0.96","None"
31,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,0.000404326,0.000404326,225.6,0.000404326,0,225.6,"0.92:0.92:0.92:0.92:0.92:0.92","None"
32,"COMPLETED","Aurora","Frontier",0,0.000408705,3069.01,3148.39,0.000408705,3069.01,79.3802,"0.00:0.00:0.92:0.96:0.00:0.97","None"
33,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000408332,3069.01,3301.79,0.000408332,3069.01,232.777,"0.92:0.92:0.92:0.96:0.00:0.96","None"
34,"COMPLETED","Andes","Andes",0,0.000404674,102,454.8,0.000404674,102,352.8,"0.92:0.92:0.92:0.92:0.92:0.92","None"
35,"COMPLETED","Andes","Frontier",0,0.000408786,3069.01,4061.26,0.000408786,3069.01,992.253,"0.92:0.92:0.92:0.96:0.00:0.96","None"
36,"COMPLETED","Aurora","Aurora",0,0.000409077,53.9427,183.173,0.000409077,53.9423,129.231,"0.00:0.00:0.89:0.97:0.00:0.91","None"
37,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000405203,358.8,615.6,0.000405203,358.8,256.8,"0.92:0.92:0.92:0.92:0.92:0.92","None"
38,"COMPLETED","Aurora","Aurora",0,0.000404684,0.000404684,125.77,0.000404684,0,125.769,"0.00:0.00:0.92:0.92:0.00:0.92","None"
39,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000409092,299.712,1911.92,0.000409092,299.712,1612.21,"0.00:0.00:0.92:0.93:0.00:0.92","None"
40,"COMPLETED","Frontier","Frontier",0,0.00039807,0.00039807,3069.01,0.00039807,0,3069.01,"0.00:0.00:0.00:0.00:0.00:0.97","None"
41,"COMPLETED","Frontier","Frontier",0,0.000409022,3148.39,3450.89,0.000409022,3148.39,302.503,"0.00:0.00:0.00:0.92:0.00:0.96","None"
42,"COMPLETED","Andes","Andes",0,0.000404674,26.4004,48.0004,0.000404674,26.4,21.6,"0.92:0.92:0.92:0.92:0.92:0.92","None"
43,"COMPLETED","Aurora","Aurora",0,0.000409077,183.173,1288.56,0.000409077,183.173,1105.38,"0.00:0.00:0.88:0.97:0.00:0.93","None"
44,"COMPLETED","Aurora","Frontier",0,0.000408169,422.646,477.354,0.000408169,422.646,54.708,"0.00:0.00:0.92:0.96:0.00:0.97","None"
45,"COMPLETED","Frontier","Frontier",0,0.000409022,843.147,1356.97,0.000409022,843.147,513.826,"0.00:0.00:0.88:0.93:0.00:0.96","None"
46,"COMPLETED","Aurora","Aurora",0,0.00040831,0.00040831,19.9043,0.00040831,0,19.9038,"0.92:0.92:0.92:0.96:0.92:0.95","None"
47,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.00040831,8.65425,69.8081,0.00040831,8.65385,61.1538,"0.92:0.92:0.92:0.95:0.92:0.95","None"
48,"COMPLETED","Aurora","Frontier",0,0.000408169,405.483,422.646,0.000408169,405.483,17.1633,"0.92:0.92:0.92:0.95:0.92:0.96","None"
49,"COMPLETED","Frontier","Frontier",0,0.000405944,337.903,510.608,0.000405944,337.902,172.706,"0.00:0.00:0.92:0.96:0.00:0.97","None"
50,"COMPLETED","Frontier","Frontier",0,0.000409022,1517.88,1691.66,0.000409022,1517.88,173.778,"0.00:0.00:0.89:0.94:0.00:0.97","None"
51,"COMPLETED","Frontier","Aurora",0,0.000401972,0.000401972,492.116,0.000401972,0,492.115,"0.00:0.00:0.00:0.92:0.00:0.92","None"
52,"COMPLETED","Aurora","Aurora",0,0.000408963,0.000408963,18.4619,0.000408963,0,18.4615,"0.00:0.00:0.88:0.97:0.00:0.93","None"
53,"COMPLETED","Frontier","Perlmutter-Phase-2",0,0.000403524,0.000403524,358.8,0.000403524,0,358.8,"0.00:0.92:0.00:0.92:0.00:0.92","None"
54,"COMPLETED","Perlmutter-Phase-2","Aurora",0,0.000408231,8.36579,70.6735,0.000408231,8.36538,62.3077,"0.92:0.92:0.92:0.96:0.92:0.96","None"
55,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,0.000404914,99.6004,123.6,0.000404914,99.6,24,"0.92:0.92:0.92:0.92:0.92:0.92","None"
56,"COMPLETED","Aurora","Aurora",0,0.000408534,0.000408534,23.0773,0.000408534,0,23.0769,"0.00:0.00:0.89:0.97:0.00:0.93","None"
57,"COMPLETED","Crux","Perlmutter-Phase-1",0,0.000404914,0.000404914,159.6,0.000404914,0,159.6,"0.92:0.92:0.92:0.92:0.92:0.92","None"
58,"COMPLETED","Frontier","Frontier",0,0.000409022,1384.86,1517.88,0.000409022,1384.86,133.015,"0.00:0.00:0.00:0.93:0.00:0.96","None"
59,"COMPLETED","Frontier","Frontier",0,0.000408332,477.354,622.17,0.000408332,477.354,144.815,"0.00:0.92:0.92:0.96:0.00:0.96","None"
60,"COMPLETED","Aurora","Aurora",0,0.000404684,0.000404684,21.635,0.000404684,0,21.6346,"0.00:0.00:0.92:0.92:0.00:0.92","None"
61,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000404889,0.000404889,13.2696,0.000404889,0,13.2692,"0.92:0.92:0.92:0.92:0.00:0.92","None"
62,"COMPLETED","Perlmutter-Phase-2","Andes",0,0.000404674,0.000404674,28.8004,0.000404674,0,28.8,"0.92:0.92:0.92:0.92:0.92:0.92","None"
63,"COMPLETED","Andes","Andes",0,0.000404674,68.4004,157.2,0.000404674,68.4,88.8,"0.92:0.92:0.92:0.92:0.92:0.92","None"
64,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000409062,252.981,744.808,0.000409062,252.981,491.827,"0.00:0.00:0.92:0.92:0.00:0.91","None"
65,"COMPLETED","Aurora","Aurora",0,0.000409062,55.385,185.77,0.000409062,55.3846,130.385,"0.00:0.00:0.87:0.97:0.00:0.92","None"
66,"COMPLETED","Aurora","Aurora",0,0.000409038,48.4619,167.885,0.000409038,48.4615,119.423,"0.00:0.00:0.88:0.97:0.00:0.93","None"
67,"COMPLETED","Aurora","Frontier",0,0.000408705,3283.55,4071.99,0.000408705,3283.55,788.439,"0.00:0.92:0.00:0.96:0.00:0.96","None"
68,"COMPLETED","Aurora","Aurora",0,0.000408963,43.5581,97.2119,0.000408963,43.5577,53.6538,"0.00:0.00:0.87:0.97:0.00:0.93","None"
69,"COMPLETED","Frontier","Frontier",0,0.000409074,3190.23,6156.26,0.000409074,3190.23,2966.03,"0.00:0.00:0.00:0.94:0.00:0.96","None"
70,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000408705,2819.07,3032.54,0.000408705,2819.07,213.468,"0.00:0.00:0.92:0.96:0.00:0.97","None"
71,"COMPLETED","Frontier","Frontier",0,0.000409022,510.608,1027.65,0.000409022,510.608,517.044,"0.00:0.00:0.89:0.94:0.00:0.96","None"
72,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000404674,3173.06,3657.93,0.000404674,3173.06,484.863,"0.00:0.00:0.92:0.92:0.00:0.92","None"
73,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000404838,0.000404838,595.2,0.000404838,0,595.2,"0.92:0.92:0.92:0.92:0.92:0.92","None"
74,"COMPLETED","Crux","Frontier",0,0.000408786,3069.01,4232.9,0.000408786,3069.01,1163.89,"0.92:0.92:0.92:0.96:0.00:0.96","None"
75,"COMPLETED","Andes","Aurora",0,0.00040831,0.00040831,18.1735,0.00040831,0,18.1731,"0.92:0.92:0.92:0.96:0.92:0.96","None"
76,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000408705,1218.59,1242.19,0.000408705,1218.59,23.5995,"0.92:0.92:0.92:0.95:0.92:0.96","None"
77,"COMPLETED","Aurora","Frontier",0,0.000404674,4071.99,8466.87,0.000404674,4071.99,4394.87,"0.00:0.00:0.00:0.92:0.00:0.92","None"
78,"COMPLETED","Frontier","Aurora",0,0.000408026,0.000408026,6.34656,0.000408026,0,6.34615,"0.00:0.00:0.00:0.96:0.00:0.96","None"
79,"COMPLETED","Perlmutter-Phase-1","Andes",0,0.000404914,192,363.6,0.000404914,192,171.6,"0.92:0.92:0.92:0.92:0.00:0.92","None"
80,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000404674,0.000404674,193.2,0.000404674,0,193.2,"0.00:0.00:0.92:0.92:0.00:0.92","None"
81,"COMPLETED","Frontier","Frontier",0,0.000409032,3283.55,4366.98,0.000409032,3283.55,1083.43,"0.00:0.00:0.00:0.93:0.00:0.96","None"
82,"COMPLETED","Aurora","Frontier",0,0.000408705,1360.19,1380.57,0.000408705,1360.19,20.3814,"0.00:0.00:0.92:0.96:0.00:0.97","None"
83,"COMPLETED","Aurora","Aurora",0,0.000408836,0.000408836,24.5196,0.000408836,0,24.5192,"0.00:0.00:0.87:0.97:0.00:0.92","None"
84,"COMPLETED","Perlmutter-Phase-2","Crux",0,0.000404409,0.000404409,31.2004,0.000404409,0,31.2,"0.92:0.92:0.92:0.92:0.92:0.92","None"
85,"COMPLETED","Aurora","Aurora",0,0.000408836,20.7696,103.27,0.000408836,20.7692,82.5,"0.00:0.00:0.88:0.97:0.00:0.92","None"
86,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000404334,0.000404334,939.6,0.000404334,0,939.6,"0.00:0.92:0.92:0.92:0.00:0.92","None"
87,"COMPLETED","Perlmutter-Phase-2","Aurora",0,0.000405072,0.000405072,8.36579,0.000405072,0,8.36538,"0.92:0.92:0.92:0.92:0.92:0.92","None"
88,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000408601,3069.01,3212.75,0.000408601,3069.01,143.743,"0.00:0.00:0.92:0.96:0.00:0.97","None"
89,"COMPLETED","Aurora","Aurora",0,0.000408026,0.000408026,8.65425,0.000408026,0,8.65385,"0.00:0.92:0.92:0.96:0.00:0.96","None"
90,"COMPLETED","Aurora","Aurora",0,0.000407902,447.693,687.404,0.000407902,447.692,239.712,"0.00:0.00:0.00:0.96:0.00:0.96","None"
91,"COMPLETED","Aurora","Frontier",0,0.000408786,2077.83,2156.14,0.000408786,2077.83,78.3075,"0.00:0.00:0.92:0.96:0.00:0.97","None"
92,"COMPLETED","Aurora","Perlmutter-Phase-1",0,0.000403524,3630.67,4307.47,0.000403524,3630.67,676.8,"0.00:0.92:0.92:0.92:0.00:0.92","None"
93,"COMPLETED","Perlmutter-Phase-2","Crux",0,0.000404684,228,268.8,0.000404684,228,40.8,"0.92:0.92:0.92:0.92:0.92:0.92","None"
94,"COMPLETED","Aurora","Frontier",0,0.000408786,1500.72,1548.99,0.000408786,1500.72,48.2718,"0.00:0.00:0.92:0.97:0.00:0.97","None"
95,"COMPLETED","Perlmutter-Phase-2","Crux",0,0.000405072,1464,1537.2,0.000405072,1464,73.2,"0.92:0.92:0.92:0.92:0.92:0.92","None"
96,"COMPLETED","Aurora","Frontier",0,0.000403393,463.409,876.401,0.000403393,463.409,412.992,"0.00:0.00:0.92:0.92:0.00:0.92","None"
97,"COMPLETED","Frontier","Aurora",0,0.000404409,0.000404409,45.0004,0.000404409,0,45,"0.00:0.92:0.00:0.92:0.00:0.92","None"
98,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000404674,142.8,3808.8,0.000404674,142.8,3666,"0.00:0.92:0.92:0.92:0.00:0.92","None"
99,"COMPLETED","Perlmutter-Phase-2","Andes",0,0.000404334,0.000404334,104.4,0.000404334,0,104.4,"0.92:0.92:0.92:0.92:0.92:0.92","None"
100,"COMPLETED","Perlmutter-Phase-2","Aurora",0,0.000408231,0.000408231,6.0581,0.000408231,0,6.05769,"0.92:0.92:0.92:0.96:0.92:0.95","None"
101,"COMPLETED","Aurora","Aurora",0,0.000409092,67.5004,192.981,0.000409092,67.5,125.481,"0.00:0.00:0.86:0.97:0.00:0.93","None"
102,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000408601,1423.48,1446.01,0.000408601,1423.48,22.5268,"0.00:0.00:0.92:0.96:0.00:0.97","None"
103,"COMPLETED","Frontier","Frontier",0,0.00039807,2333.14,5346.37,0.00039807,2333.13,3013.23,"0.00:0.00:0.00:0.00:0.00:0.92","None"
104,"COMPLETED","Aurora","Aurora",0,0.000409007,6.0581,25.9619,0.000409007,6.05769,19.9038,"0.00:0.00:0.86:0.97:0.00:0.90","None"
105,"COMPLETED","Andes","Aurora",0,0.000404409,0.000404409,1319.14,0.000404409,0,1319.13,"0.00:0.92:0.92:0.92:0.00:0.92","None"
106,"COMPLETED","Andes","Aurora",0,0.00040304,0.00040304,447.693,0.00040304,0,447.692,"0.92:0.92:0.92:0.92:0.00:0.92","None"
107,"COMPLETED","Frontier","Frontier",0,0.000408847,3032.54,3112.99,0.000408847,3032.54,80.4529,"0.00:0.00:0.00:0.97:0.00:0.97","None"
108,"COMPLETED","Aurora","Aurora",0,0.000409077,57.6927,117.981,0.000409077,57.6923,60.2885,"0.00:0.00:0.89:0.97:0.00:0.93","None"
109,"COMPLETED","Aurora","Aurora",0,0.000408137,0.000408137,5.19272,0.000408137,0,5.19231,"0.92:0.92:0.92:0.95:0.92:0.95","None"
110,"COMPLETED","Perlmutter-Phase-2","Aurora",0,0.000408231,0.000408231,37.2119,0.000408231,0,37.2115,"0.92:0.92:0.92:0.96:0.92:0.96","None"
111,"COMPLETED","Crux","Frontier",0,0.000408601,1185.34,1218.59,0.000408601,1185.34,33.2539,"0.92:0.92:0.92:0.95:0.92:0.96","None"
112,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1",0,0.000403524,267.07,3630.67,0.000403524,267.07,3363.6,"0.00:0.92:0.92:0.92:0.00:0.92","None"
113,"COMPLETED","Aurora","Aurora",0,0.000407761,0.000407761,6.34656,0.000407761,0,6.34615,"0.00:0.92:0.92:0.96:0.00:0.95","None"
114,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000402817,0.000402817,110.4,0.000402817,0,110.4,"0.92:0.92:0.92:0.92:0.00:0.92","None"
115,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000409032,4325.15,5481.53,0.000409032,4325.15,1156.38,"0.00:0.00:0.00:0.93:0.00:0.93","None"
116,"COMPLETED","Aurora","Aurora",0,0.000409062,30.5773,127.212,0.000409062,30.5769,96.6346,"0.00:0.00:0.88:0.97:0.00:0.93","None"
117,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000409451,3630.67,4045.87,0.000409451,3630.67,415.2,"0.00:0.00:0.92:0.92:0.00:0.90","None"
118,"COMPLETED","Aurora","Frontier",0,0.000408169,181.288,208.105,0.000408169,181.287,26.8176,"0.00:0.00:0.92:0.96:0.00:0.97","None"
119,"COMPLETED","Crux","Aurora",0,0.000408375,0.000408375,8.07733,0.000408375,0,8.07692,"0.92:0.92:0.92:0.96:0.92:0.96","None"
120,"COMPLETED","Aurora","Aurora",0,0.000409007,167.885,409.327,0.000409007,167.885,241.442,"0.00:0.00:0.00:0.97:0.00:0.91","None"
121,"COMPLETED","Frontier","Frontier",0,0.000408601,3215.97,7832.9,0.000408601,3215.97,4616.92,"0.00:0.00:0.00:0.96:0.00:0.97","None"
122,"COMPLETED","Andes","Aurora",0,0.000408137,5.19272,53.9427,0.000408137,5.19231,48.75,"0.92:0.92:0.92:0.96:0.92:0.95","None"
123,"COMPLETED","Frontier","Aurora",0,0.000407608,0.000407608,8.36579,0.000407608,0,8.36538,"0.00:0.00:0.00:0.96:0.00:0.96","None"
124,"COMPLETED","Aurora","Perlmutter-Phase-1",0,0.000403524,0.000403524,150,0.000403524,0,150,"0.00:0.00:0.92:0.92:0.00:0.92","None"
125,"COMPLETED","Frontier","Aurora",0,0.000404409,0.000404409,45.0004,0.000404409,0,45,"0.00:0.92:0.00:0.92:0.00:0.92","None"
126,"COMPLETED","Andes","Andes",0,0.000403897,0.000403897,68.4004,0.000403897,0,68.4,"0.92:0.92:0.92:0.92:0.92:0.92","None"
127,"COMPLETED","Frontier","Frontier",0,0.000408601,622.17,843.147,0.000408601,622.169,220.977,"0.00:0.00:0.92:0.97:0.00:0.97","None"
128,"COMPLETED","Aurora","Aurora",0,0.000408909,0.000408909,30.5773,0.000408909,0,30.5769,"0.00:0.00:0.87:0.97:0.00:0.94","None"
129,"COMPLETED","Aurora","Aurora",0,0.000404684,0.000404684,155.481,0.000404684,0,155.481,"0.00:0.00:0.92:0.92:0.00:0.92","None"
130,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1",0,0.000403959,3630.67,4177.87,0.000403959,3630.67,547.2,"0.92:0.92:0.92:0.92:0.00:0.92","None"
131,"COMPLETED","Frontier","Aurora",0,0.000407608,0.000407608,8.07733,0.000407608,0,8.07692,"0.00:0.00:0.00:0.95:0.00:0.95","None"
132,"COMPLETED","Aurora","Aurora",0,0.000408836,6.34656,153.75,0.000408836,6.34615,147.404,"0.00:0.00:0.86:0.97:0.00:0.91","None"
133,"COMPLETED","Frontier","Frontier",0,0.000409022,1575.8,1655.19,0.000409022,1575.8,79.3802,"0.00:0.00:0.00:0.93:0.00:0.96","None"
134,"COMPLETED","Aurora","Frontier",0,0.000408478,3215.97,4109.54,0.000408478,3215.97,893.564,"0.00:0.00:0.92:0.96:0.00:0.97","None"
135,"COMPLETED","Aurora","Perlmutter-Phase-1",0,0.000402817,0.000402817,139.2,0.000402817,0,139.2,"0.00:0.00:0.92:0.92:0.00:0.92","None"
136,"COMPLETED","Frontier","Frontier",0,0.000407992,2657.09,2819.07,0.000407992,2657.09,161.979,"0.00:0.00:0.00:0.96:0.00:0.96","None"
137,"COMPLETED","Frontier","Frontier",0,0.000389295,0.000389295,2333.14,0.000389295,0,2333.13,"0.00:0.00:0.00:0.00:0.00:0.97","None"
138,"COMPLETED","Frontier","Frontier",0,0.000409083,3192.37,3501.31,0.000409083,3192.37,308.939,"0.00:0.00:0.00:0.91:0.00:0.96","None"
139,"COMPLETED","Perlmutter-Phase-1","Crux",0,0.000404409,0.000404409,348,0.000404409,0,348,"0.92:0.92:0.92:0.92:0.92:0.92","None"
140,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000408786,873.183,1006.2,0.000408786,873.182,133.015,"0.00:0.00:0.92:0.97:0.00:0.97","None"
141,"COMPLETED","Crux","Frontier",0,0.000408705,854.947,873.183,0.000408705,854.946,18.236,"0.92:0.92:0.92:0.96:0.92:0.96","None"
142,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,0.000404674,0.000404674,403.2,0.000404674,0,403.2,"0.92:0.92:0.92:0.92:0.00:0.92","None"
143,"COMPLETED","Aurora","Aurora",0,0.00040304,0.00040304,183.75,0.00040304,0,183.75,"0.00:0.00:0.92:0.92:0.00:0.92","None"
144,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000408705,718.713,854.947,0.000408705,718.713,136.234,"0.92:0.92:0.92:0.95:0.92:0.96","None"
145,"COMPLETED","Frontier","Aurora",0,0.00040304,0.00040304,125.193,0.00040304,0,125.192,"0.00:0.00:0.00:0.92:0.00:0.92","None"
146,"COMPLETED","Aurora","Aurora",0,0.000408231,0.000408231,6.0581,0.000408231,0,6.05769,"0.92:0.92:0.92:0.96:0.92:0.95","None"
147,"COMPLETED","Perlmutter-Phase-2","Aurora",0,0.00040831,0.00040831,12.9812,0.00040831,0,12.9808,"0.92:0.92:0.92:0.96:0.92:0.95","None"
148,"COMPLETED","Aurora","Frontier",0,0.000403393,163.052,181.288,0.000403393,163.051,18.236,"0.00:0.92:0.92:0.92:0.00:0.92","None"
149,"COMPLETED","Aurora","Aurora",0,0.000408909,18.1735,120.289,0.000408909,18.1731,102.115,"0.00:0.00:0.87:0.97:0.00:0.91","None"
150,"COMPLETED","Andes","Aurora",0,0.000408026,8.07733,562.212,0.000408026,8.07692,554.135,"0.00:0.92:0.92:0.96:0.00:0.96","None"
151,"COMPLETED","Crux","Frontier",0,0.000408705,181.288,201.669,0.000408705,181.287,20.3814,"0.92:0.92:0.92:0.95:0.92:0.96","None"
152,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000409509,0.000409509,133.2,0.000409509,0,133.2,"0.00:0.00:0.92:0.92:0.00:0.92","None"
153,"COMPLETED","Aurora","Aurora",0,0.000404409,0.000404409,96.0581,0.000404409,0,96.0577,"0.00:0.92:0.92:0.92:0.00:0.92","None"
154,"COMPLETED","Crux","Frontier",0,0.000404334,3069.01,3399.4,0.000404334,3069.01,330.393,"0.92:0.92:0.92:0.92:0.92:0.92","None"
155,"COMPLETED","Perlmutter-Phase-2","Crux",0,0.000404409,348,634.8,0.000404409,348,286.8,"0.92:0.92:0.92:0.92:0.92:0.92","None"
156,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000408836,0.000408836,20.7696,0.000408836,0,20.7692,"0.00:0.00:0.92:0.92:0.00:0.91","None"
157,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000404684,0.000404684,45.8658,0.000404684,0,45.8654,"0.92:0.92:0.92:0.92:0.92:0.92","None"
158,"COMPLETED","Andes","Frontier",0,0.000408601,3069.01,3192.37,0.000408601,3069.01,123.361,"0.92:0.92:0.92:0.96:0.92:0.96","None"
159,"COMPLETED","Aurora","Frontier",0,0.000408478,1548.99,1575.8,0.000408478,1548.99,26.8176,"0.00:0.00:0.92:0.96:0.00:0.97","None"
160,"COMPLETED","Aurora","Frontier",0,0.000408601,208.105,240.286,0.000408601,208.105,32.1812,"0.00:0.00:0.92:0.97:0.00:0.97","None"
161,"COMPLETED","Crux","Perlmutter-Phase-1",0,0.000403959,0.000403959,109.2,0.000403959,0,109.2,"0.92:0.92:0.92:0.92:0.92:0.92","None"
162,"COMPLETED","Frontier","Frontier",0,0.000405944,1380.57,1398.81,0.000405944,1380.57,18.236,"0.00:0.00:0.00:0.97:0.00:0.97","None"
163,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000409007,6.34656,23.9427,0.000409007,6.34615,17.5962,"0.00:0.00:0.92:0.94:0.00:0.92","None"
164,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,0.000404334,0.000404334,87.6004,0.000404334,0,87.6,"0.92:0.92:0.92:0.92:0.92:0.92","None"
165,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000403393,2787.96,3173.06,0.000403393,2787.96,385.101,"0.92:0.92:0.92:0.92:0.00:0.92","None"
166,"COMPLETED","Andes","Frontier",0,0.000408478,477.354,718.713,0.000408478,477.354,241.359,"0.92:0.92:0.92:0.96:0.92:0.96","None"
167,"COMPLETED","Frontier","Aurora",0,0.000401972,0.000401972,70.9619,0.000401972,0,70.9615,"0.00:0.00:0.00:0.92:0.00:0.92","None"
