JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000585712,0.000585712,939.601,0.000585712,0,939.6,"0.00:0.88:0.78:0.76:0.00:0.81","None"
2,"COMPLETED","Frontier","Frontier",0,0.000411084,0.000411084,1562.93,0.000411084,0,1562.93,"0.00:0.00:0.00:0.00:0.00:0.87","None"
3,"COMPLETED","Frontier","Frontier",999.441,999.442,999.442,4801.11,0.000581535,0,3801.67,"0.00:0.00:0.00:0.76:0.00:0.81","None"
4,"COMPLETED","Crux","Frontier",3600,3600,3600,6674.37,0.000641519,0,3074.37,"0.76:0.80:0.73:0.80:0.00:0.85","None"
5,"COMPLETED","Frontier","Frontier",4711.18,4711.18,4711.18,5996.29,0.000405084,0,1285.1,"0.00:0.00:0.00:0.00:0.00:0.87","None"
6,"COMPLETED","Frontier","Frontier",6267.68,6267.68,6267.68,9286.27,0.000422084,0,3018.59,"0.00:0.00:0.00:0.00:0.00:0.86","None"
7,"COMPLETED","Frontier","Frontier",7175.52,7175.52,7175.52,10679,0.000411084,0,3503.46,"0.00:0.00:0.00:0.00:0.00:0.85","None"
8,"COMPLETED","Andes","Frontier",9786.87,9786.87,9786.87,11090.2,0.000594535,0,1303.34,"0.00:0.78:0.69:0.76:0.00:0.80","None"
9,"COMPLETED","Aurora","Aurora",9840.12,9840.12,9840.12,11600,0.000581535,0,1759.9,"0.00:0.00:0.00:0.88:0.00:0.84","None"
10,"COMPLETED","Frontier","Frontier",10357.4,10357.4,10357.4,10928.1,0.000416084,0,570.679,"0.00:0.00:0.00:0.00:0.00:0.74","None"
11,"COMPLETED","Andes","Andes",10774.4,10774.4,10774.4,12356,0.000590535,0,1581.6,"0.90:0.79:0.71:0.76:0.00:0.80","None"
12,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",10800,10800,10800,12408,0.000587535,0,1608,"0.00:0.00:0.92:0.85:0.00:0.85","None"
13,"COMPLETED","Andes","Perlmutter-Phase-2",10839.3,10839.3,10839.3,18890.1,0.000593579,0,8050.8,"0.00:0.88:0.76:0.76:0.00:0.80","None"
14,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",11310.8,11310.8,11310.8,15880.4,0.000584535,0,4569.6,"0.00:0.89:0.00:0.75:0.00:0.76","None"
15,"COMPLETED","Frontier","Frontier",12720.2,12720.2,12720.2,15760.2,0.000407084,0,3040.05,"0.00:0.00:0.00:0.00:0.00:0.88","None"
16,"COMPLETED","Andes","Frontier",14996.3,14996.3,14996.3,15844.8,0.000604535,0,848.51,"0.00:0.73:0.69:0.76:0.00:0.81","None"
17,"COMPLETED","Andes","Perlmutter-Phase-2",15307.7,15307.7,15307.7,17224.1,0.000598535,0,1916.4,"0.00:0.83:0.78:0.76:0.00:0.81","None"
18,"COMPLETED","Aurora","Aurora",15879,15879,15879,16783.9,0.000586535,0,904.904,"0.00:0.00:0.00:0.95:0.00:0.85","None"
19,"COMPLETED","Andes","Frontier",15956,15956,15956,16860.3,0.000598569,0,904.291,"0.00:0.76:0.69:0.76:0.00:0.89","None"
20,"COMPLETED","Crux","Frontier",16098.5,16098.5,16098.5,17327.9,0.000590519,0,1229.32,"0.76:0.79:0.73:0.80:0.00:0.85","None"
21,"COMPLETED","Andes","Frontier",16116.5,16116.5,16116.5,20452.4,0.000584535,0,4335.88,"0.78:0.77:0.70:0.76:0.00:0.89","None"
22,"COMPLETED","Frontier","Frontier",16389.4,16389.4,16389.4,18811.6,0.000405084,0,2422.17,"0.00:0.00:0.00:0.00:0.00:0.88","None"
23,"COMPLETED","Frontier","Frontier",16418.4,16418.4,16418.4,17688.5,0.000586535,0,1270.08,"0.00:0.00:0.00:0.75:0.00:0.87","None"
24,"COMPLETED","Aurora","Aurora",17277.5,17277.5,17277.5,17518.4,0.000589535,0,240.865,"0.00:0.00:0.86:0.88:0.00:0.85","None"
25,"COMPLETED","Frontier","Aurora",17471.4,17471.4,17471.4,18529.8,0.000521352,0,1058.37,"0.00:0.00:0.00:0.91:0.00:0.88","None"
26,"COMPLETED","Frontier","Frontier",17516,17516,17516,19522,0.000402084,0,2005.96,"0.00:0.00:0.00:0.00:0.00:0.85","None"
27,"COMPLETED","Frontier","Frontier",18278.3,18278.3,18278.3,20108.4,0.000586535,0,1830.04,"0.00:0.00:0.00:0.75:0.00:0.79","None"
28,"COMPLETED","Frontier","Frontier",18382.1,18382.1,18382.1,20367.7,0.000581535,0,1985.58,"0.00:0.00:0.00:0.85:0.00:0.94","None"
29,"COMPLETED","Andes","Perlmutter-Phase-2",18638.6,18638.6,18638.6,19513.4,0.000596535,0,874.8,"0.79:0.88:0.79:0.76:0.00:0.80","None"
30,"COMPLETED","Frontier","Frontier",18662.5,18662.5,18662.5,19992.7,0.000404084,0,1330.15,"0.00:0.00:0.00:0.00:0.00:0.82","None"
31,"COMPLETED","Aurora","Aurora",18705.1,18705.1,18705.1,19112.1,0.000597535,0,407.019,"0.00:0.00:0.83:0.96:0.00:0.81","None"
32,"COMPLETED","Frontier","Frontier",18835.7,18835.7,18835.7,19692.8,0.000403084,0,857.092,"0.00:0.00:0.00:0.00:0.00:0.83","None"
33,"COMPLETED","Perlmutter-Phase-1","Aurora",19256,19256,19256,19468.3,0.000597352,0,212.308,"0.00:0.00:0.00:0.84:0.00:0.56","None"
34,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",19297.1,19297.1,19297.1,20349.5,0.000601535,0,1052.4,"0.00:0.89:0.00:0.75:0.00:0.48","None"
35,"COMPLETED","Perlmutter-Phase-1","Frontier",19522.7,19522.7,19522.7,21880.5,0.000590535,0,2357.81,"0.00:0.00:0.83:0.85:0.00:0.90","None"
36,"COMPLETED","Frontier","Frontier",19873.8,19873.8,19992.7,20907.7,0.000410084,118.815,915.018,"0.00:0.00:0.00:0.00:0.00:0.62","None"
37,"COMPLETED","Andes","Perlmutter-Phase-2",19934.5,19934.5,19934.5,24333.7,0.000594579,0,4399.2,"0.00:0.86:0.78:0.76:0.00:0.79","None"
38,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",20395.9,20395.9,20395.9,20959.9,0.000599535,0,564,"0.00:0.84:0.75:0.76:0.00:0.76","None"
39,"COMPLETED","Frontier","Frontier",20685.9,20685.9,20685.9,22516,0.000404084,0,1830.04,"0.00:0.00:0.00:0.00:0.00:0.87","None"
40,"COMPLETED","Perlmutter-Phase-1","Frontier",20734.5,20734.5,20734.5,23674.8,0.000596535,0,2940.29,"0.00:0.84:0.77:0.76:0.00:0.84","None"
41,"COMPLETED","Perlmutter-Phase-2","Frontier",21005.4,21005.4,21005.4,22486.8,0.000593535,0,1481.41,"0.75:0.84:0.76:0.76:0.00:0.85","None"
42,"COMPLETED","Frontier","Frontier",21086.8,21086.8,21086.8,25535.3,0.000402084,0,4448.51,"0.00:0.00:0.00:0.00:0.00:0.93","None"
43,"COMPLETED","Frontier","Frontier",21157.7,21157.7,21157.7,22718.5,0.000412084,0,1560.79,"0.00:0.00:0.00:0.00:0.00:0.87","None"
44,"COMPLETED","Crux","Perlmutter-Phase-2",21488.7,21488.7,21488.7,22592.7,0.000585696,0,1104,"0.76:0.90:0.81:0.80:0.00:0.77","None"
45,"COMPLETED","Aurora","Aurora",21503.2,21503.2,21503.2,22684.7,0.000589535,0,1181.54,"0.00:0.00:0.00:0.88:0.00:0.83","None"
46,"COMPLETED","Frontier","Frontier",21648.4,21648.4,21648.4,25998.2,0.000405084,0,4349.82,"0.00:0.00:0.00:0.00:0.00:0.83","None"
47,"COMPLETED","Aurora","Aurora",21678,21678,21678,21971.3,0.000652535,0,293.365,"0.00:0.00:0.00:0.95:0.00:0.79","None"
48,"COMPLETED","Aurora","Aurora",21926.6,21926.6,21926.6,22505,0.000587535,0,578.365,"0.00:0.00:0.00:0.78:0.00:0.77","None"
49,"COMPLETED","Frontier","Frontier",22430.9,22430.9,22430.9,23326.6,0.000401084,0,895.709,"0.00:0.00:0.00:0.00:0.00:0.80","None"
50,"COMPLETED","Aurora","Aurora",22502.4,22502.4,22502.4,22788.2,0.000588535,0,285.865,"0.00:0.00:0.80:0.95:0.00:0.58","None"
51,"COMPLETED","Aurora","Aurora",22566.7,22566.7,22566.7,22839.3,0.000651535,0,272.596,"0.00:0.00:0.81:0.96:0.00:0.82","None"
52,"COMPLETED","Crux","Andes",22684.6,22684.6,22684.6,23768.2,0.000582519,0,1083.6,"0.86:0.79:0.73:0.80:0.00:0.75","None"
53,"COMPLETED","Frontier","Aurora",22797.5,22797.5,22797.5,23078.7,0.000523352,0,281.25,"0.00:0.00:0.00:0.92:0.00:0.87","None"
54,"COMPLETED","Andes","Frontier",22978.5,22978.5,22978.5,23851.7,0.000592535,0,873.182,"0.00:0.77:0.69:0.76:0.00:0.78","None"
55,"COMPLETED","Frontier","Frontier",23547.7,23547.7,23547.7,24457.4,0.000420084,0,909.654,"0.00:0.00:0.00:0.00:0.00:0.85","None"
56,"COMPLETED","Frontier","Frontier",23872.7,23872.7,23872.7,28707.4,0.000412084,0,4834.68,"0.00:0.00:0.00:0.00:0.00:0.78","None"
57,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",24149,24149,24149,28706.6,0.000586535,0,4557.6,"0.00:0.92:0.82:0.76:0.00:0.74","None"
58,"COMPLETED","Frontier","Aurora",24237.6,24237.6,24237.6,24588.7,0.000527352,0,351.058,"0.00:0.00:0.00:0.91:0.00:0.86","None"
59,"COMPLETED","Perlmutter-Phase-2","Frontier",24289.4,24289.4,24289.4,25712.8,0.000596535,0,1423.48,"0.00:0.77:0.70:0.75:0.00:0.79","None"
60,"COMPLETED","Frontier","Aurora",24441.8,24441.8,24441.8,24745,0.000524352,0,303.173,"0.00:0.00:0.00:0.91:0.00:0.82","None"
61,"COMPLETED","Aurora","Aurora",24712.4,24712.4,24712.4,25818.6,0.000600535,0,1106.25,"0.00:0.00:0.00:0.93:0.00:0.79","None"
62,"COMPLETED","Frontier","Frontier",24770.3,24770.3,25535.3,26479.2,0.000407084,764.974,943.981,"0.00:0.00:0.00:0.00:0.00:0.52","None"
63,"COMPLETED","Frontier","Frontier",24811,24811,25998.2,27849.7,0.000400084,1187.26,1851.49,"0.00:0.00:0.00:0.00:0.00:0.63","None"
64,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",25149.3,25149.3,25149.3,26854.5,0.000588535,0,1705.2,"0.00:0.77:0.00:0.74:0.00:0.52","None"
65,"COMPLETED","Frontier","Frontier",25195.5,25195.5,25712.8,28672.4,0.000400084,517.394,2959.59,"0.00:0.00:0.00:0.00:0.00:0.66","None"
66,"COMPLETED","Frontier","Frontier",25283.4,25283.4,25283.4,26101.9,0.000590535,0,818.474,"0.00:0.00:0.00:0.75:0.00:0.78","None"
67,"COMPLETED","Perlmutter-Phase-2","Aurora",25299.9,25299.9,25299.9,26273.8,0.000604535,0,973.846,"0.00:0.65:0.72:0.75:0.00:0.61","None"
68,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",25332.3,25332.3,25332.3,26767.5,0.000598535,0,1435.2,"0.00:0.00:0.94:0.86:0.00:0.84","None"
69,"COMPLETED","Aurora","Aurora",25620.4,25620.4,25620.4,25933.4,0.000606535,0,312.981,"0.00:0.00:0.88:0.89:0.00:0.49","None"
70,"COMPLETED","Aurora","Aurora",25674.5,25674.5,25674.5,27217,0.000594535,0,1542.4,"0.00:0.00:0.79:0.95:0.00:0.56","None"
71,"COMPLETED","Frontier","Frontier",25691.2,25691.2,26479.2,29813.2,0.000403084,788.074,3333.97,"0.00:0.00:0.00:0.00:0.00:0.54","None"
72,"COMPLETED","Aurora","Aurora",25726.4,25726.4,25726.4,26586.6,0.000601535,0,860.192,"0.00:0.00:0.00:0.93:0.00:0.54","None"
73,"COMPLETED","Crux","Andes",25817,25817,25817,26748.2,0.000589519,0,931.2,"0.86:0.56:0.72:0.80:0.00:0.69","None"
74,"COMPLETED","Aurora","Aurora",25961.6,25961.6,25961.6,26648.4,0.000600535,0,686.827,"0.00:0.59:0.00:0.78:0.00:0.52","None"
75,"COMPLETED","Aurora","Aurora",25976.8,25976.8,25976.8,26427.6,0.000592535,0,450.865,"0.00:0.00:0.77:0.94:0.00:0.55","None"
76,"COMPLETED","Perlmutter-Phase-1","Aurora",26109.5,26109.5,26109.5,26407.8,0.000583535,0,298.269,"0.00:0.61:0.70:0.74:0.00:0.50","None"
77,"COMPLETED","Andes","Aurora",26323.6,26323.6,26323.6,26527.6,0.000582535,0,203.942,"0.00:0.54:0.69:0.75:0.00:0.74","None"
78,"COMPLETED","Frontier","Frontier",26461,26461,26479.2,28280.3,0.000493084,18.219,1801.07,"0.00:0.00:0.00:0.00:0.00:0.63","None"
79,"COMPLETED","Andes","Andes",26466.1,26466.1,26466.1,27412.9,0.000589535,0,946.8,"0.89:0.56:0.72:0.76:0.00:0.78","None"
80,"COMPLETED","Frontier","Frontier",26627.6,26627.6,26627.6,27467.5,0.000398084,0,839.928,"0.00:0.00:0.00:0.00:0.00:0.82","None"
81,"COMPLETED","Andes","Aurora",26781.7,26781.7,26781.7,27426.1,0.000586535,0,644.423,"0.00:0.60:0.69:0.76:0.00:0.63","None"
82,"COMPLETED","Frontier","Frontier",26792.2,26792.2,28920.3,30945.5,0.000402084,2128.05,2025.27,"0.00:0.00:0.00:0.00:0.00:0.55","None"
83,"COMPLETED","Frontier","Aurora",26960,26960,26960,27392.6,0.000485267,0,432.692,"0.00:0.00:0.00:0.92:0.00:0.83","None"
84,"COMPLETED","Crux","Aurora",26975.7,26975.7,26975.7,27362,0.000598519,0,386.25,"0.74:0.79:0.73:0.80:0.00:0.79","None"
85,"COMPLETED","Aurora","Aurora",27001.5,27001.5,27001.5,27115.4,0.000589535,0,113.942,"0.00:0.77:0.69:0.80:0.00:0.49","None"
86,"COMPLETED","Frontier","Aurora",27078.7,27078.7,27078.7,27486.6,0.000596352,0,407.885,"0.00:0.00:0.00:0.91:0.00:0.81","None"
87,"COMPLETED","Aurora","Aurora",27098.5,27098.5,27098.5,27513.9,0.000583535,0,415.385,"0.00:0.00:0.00:0.93:0.00:0.54","None"
88,"COMPLETED","Frontier","Frontier",27200.1,27200.1,27849.7,28920.3,0.000402084,649.625,1070.56,"0.00:0.00:0.00:0.00:0.00:0.54","None"
89,"COMPLETED","Frontier","Aurora",27306.1,27306.1,27306.1,27725,0.000528267,0,418.846,"0.00:0.00:0.00:0.84:0.00:0.62","None"
90,"COMPLETED","Andes","Perlmutter-Phase-2",27454,27454,27454,28284.4,0.000618535,0,830.4,"0.00:0.77:0.69:0.76:0.00:0.53","None"
91,"COMPLETED","Frontier","Frontier",27456.1,27456.1,29919.5,31187.5,0.000391084,2463.38,1267.94,"0.00:0.00:0.00:0.00:0.00:0.62","None"
92,"COMPLETED","Frontier","Frontier",27594.7,27594.7,27594.7,30027.6,0.000410084,0,2432.9,"0.00:0.00:0.00:0.00:0.00:0.81","None"
93,"COMPLETED","Frontier","Aurora",27613,27613,27613,27755.8,0.000523352,0,142.788,"0.00:0.00:0.00:0.75:0.00:0.50","None"
94,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",27627.8,27627.8,27627.8,35201,0.000592535,0,7573.2,"0.00:0.00:0.94:0.86:0.00:0.61","None"
95,"COMPLETED","Perlmutter-Phase-2","Aurora",27635,27635,27635,27782.6,0.000597535,0,147.692,"0.00:0.58:0.00:0.73:0.00:0.43","None"
96,"COMPLETED","Aurora","Aurora",27699.9,27699.9,27699.9,28775.3,0.000580535,0,1075.38,"0.00:0.00:0.00:0.94:0.00:0.54","None"
97,"COMPLETED","Frontier","Frontier",27702.1,27702.1,29813.2,32750.3,0.000408084,2111.15,2937.07,"0.00:0.00:0.00:0.00:0.00:0.57","None"
98,"COMPLETED","Aurora","Aurora",27753.1,27753.1,27753.1,28065.2,0.000591535,0,312.115,"0.00:0.00:0.80:0.95:0.00:0.58","None"
99,"COMPLETED","Crux","Aurora",28048.6,28048.6,28048.6,28518.8,0.000588535,0,470.192,"0.76:0.79:0.72:0.80:0.00:0.57","None"
100,"COMPLETED","Frontier","Frontier",28201.1,28201.1,31042.4,36995.9,0.000416084,2841.27,5953.52,"0.00:0.00:0.00:0.00:0.00:0.46","None"
101,"COMPLETED","Aurora","Aurora",28261.1,28261.1,28261.1,28759.6,0.000589535,0,498.462,"0.00:0.00:0.81:0.96:0.00:0.56","None"
102,"COMPLETED","Andes","Perlmutter-Phase-2",28294.9,28294.9,28294.9,29149.3,0.000653535,0,854.4,"0.00:0.77:0.69:0.76:0.00:0.75","None"
103,"COMPLETED","Frontier","Frontier",28356.3,28356.3,28672.4,31741.5,0.000403084,316.162,3069.01,"0.00:0.00:0.00:0.00:0.00:0.63","None"
104,"COMPLETED","Aurora","Aurora",28397.7,28397.7,28397.7,30416.6,0.000599535,0,2018.94,"0.00:0.00:0.00:0.87:0.00:0.59","None"
105,"COMPLETED","Aurora","Aurora",28430.1,28430.1,28430.1,29673.4,0.000612535,0,1243.27,"0.00:0.00:0.00:0.94:0.00:0.60","None"
106,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",28440.5,28440.5,28440.5,32220.5,0.000592535,0,3780,"0.00:0.00:0.90:0.85:0.00:0.62","None"
107,"COMPLETED","Frontier","Frontier",28479.2,28479.2,28707.4,29919.5,0.000414084,228.198,1212.16,"0.00:0.00:0.00:0.00:0.00:0.62","None"
108,"COMPLETED","Frontier","Aurora",28503,28503,28503,29643.3,0.000536352,0,1140.29,"0.00:0.00:0.00:0.75:0.00:0.64","None"
109,"COMPLETED","Andes","Perlmutter-Phase-2",28583,28583,28583,30777.8,0.000605535,0,2194.8,"0.00:0.76:0.46:0.75:0.00:0.65","None"
110,"COMPLETED","Andes","Andes",28686.3,28686.3,28686.3,29703.9,0.000654535,0,1017.6,"0.87:0.73:0.47:0.75:0.00:0.76","None"
111,"COMPLETED","Frontier","Frontier",28766.2,28766.2,31187.5,32575.5,0.000408084,2421.21,1388.08,"0.00:0.00:0.00:0.00:0.00:0.59","None"
112,"COMPLETED","Frontier","Frontier",28804.1,28804.1,117230,118268,0.000410084,88426.2,1037.31,"0.00:0.00:0.00:0.00:0.00:0.55","None"
113,"COMPLETED","Andes","Perlmutter-Phase-2",29058.9,29058.9,29058.9,29968.5,0.000672535,0,909.6,"0.00:0.86:0.55:0.76:0.00:0.50","None"
114,"COMPLETED","Frontier","Frontier",29146.2,29146.2,31741.5,34277.3,0.000416084,2595.26,2535.88,"0.00:0.00:0.00:0.00:0.00:0.55","None"
115,"COMPLETED","Aurora","Perlmutter-Phase-2",29151.3,29151.3,29151.3,30860.1,0.000605352,0,1708.8,"0.00:0.83:0.00:0.78:0.00:0.44","None"
116,"COMPLETED","Aurora","Aurora",29167.6,29167.6,29167.6,30179.9,0.000592535,0,1012.21,"0.00:0.00:0.64:0.88:0.00:0.54","None"
117,"COMPLETED","Aurora","Aurora",29249.1,29249.1,29249.1,29517.1,0.000655535,0,267.981,"0.00:0.00:0.00:0.87:0.00:0.60","None"
118,"COMPLETED","Frontier","Frontier",29323.6,29323.6,30027.6,31042.4,0.000416084,704.027,1014.78,"0.00:0.00:0.00:0.00:0.00:0.47","None"
119,"COMPLETED","Aurora","Aurora",29579.9,29579.9,29579.9,30045.5,0.000593535,0,465.577,"0.00:0.00:0.00:0.73:0.00:0.49","None"
120,"COMPLETED","Aurora","Aurora",29681.8,29681.8,29681.8,30268.3,0.000595535,0,586.442,"0.00:0.00:0.63:0.86:0.00:0.55","None"
121,"COMPLETED","Perlmutter-Phase-1","Aurora",29714.9,29714.9,29714.9,30001.3,0.000588535,0,286.442,"0.00:0.63:0.00:0.70:0.00:0.51","None"
122,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",29727.4,29727.4,30860.1,31734.9,0.000587535,1132.68,874.8,"0.00:0.62:0.48:0.48:0.00:0.45","None"
123,"REJECTED","Aurora","Aurora",29736.8,-1,-1,29736.8,0.000245712,-1,-1,"0.00:0.00:0.00:0.00:0.00:0.00","Job requires more nodes than the System has"
124,"COMPLETED","Frontier","Frontier",29910.4,29910.4,32750.3,37102.2,0.000405084,2839.85,4351.97,"0.00:0.00:0.00:0.00:0.00:0.51","None"
125,"COMPLETED","Aurora","Aurora",29929.4,29929.4,30045.5,30893.6,0.000591535,116.045,848.077,"0.00:0.00:0.00:0.63:0.00:0.51","None"
126,"COMPLETED","Andes","Aurora",29939.8,29939.8,29939.8,30359.2,0.000593535,0,419.423,"0.00:0.65:0.46:0.69:0.00:0.56","None"
127,"COMPLETED","Andes","Perlmutter-Phase-2",30021.8,30021.8,30021.8,32826.2,0.000639392,0,2804.4,"0.00:0.84:0.55:0.72:0.00:0.48","None"
128,"COMPLETED","Frontier","Frontier",30087.7,30087.7,36995.9,42289.7,0.000410084,6908.21,5293.8,"0.00:0.00:0.00:0.00:0.00:0.54","None"
129,"COMPLETED","Andes","Perlmutter-Phase-2",30205.1,30205.1,30777.8,36602.6,0.000659535,572.715,5824.8,"0.00:0.75:0.58:0.74:0.00:0.57","None"
130,"COMPLETED","Perlmutter-Phase-2","Aurora",30214.7,30214.7,30214.7,30394.7,0.000627352,0,180,"0.00:0.58:0.47:0.73:0.00:0.44","None"
131,"COMPLETED","Frontier","Frontier",30321.4,30321.4,32750.3,36445.8,0.000413084,2428.86,3695.47,"0.00:0.00:0.00:0.00:0.00:0.63","None"
132,"COMPLETED","Andes","Aurora",30338.9,30338.9,30338.9,30640.4,0.000609535,0,301.442,"0.00:0.59:0.46:0.74:0.00:0.51","None"
133,"COMPLETED","Aurora","Aurora",30480.7,30480.7,30480.7,30692.7,0.000599535,0,212.019,"0.00:0.00:0.00:0.76:0.00:0.50","None"
134,"COMPLETED","Andes","Aurora",30685.7,30685.7,30685.7,31048.9,0.000604535,0,363.173,"0.00:0.60:0.46:0.75:0.00:0.59","None"
135,"COMPLETED","Andes","Aurora",30715.1,30715.1,30715.1,31038.5,0.000591476,0,323.365,"0.00:0.59:0.46:0.76:0.00:0.51","None"
